"Quiz Duel","Quizduell"
"Admin","Admin"
"Open the presentation for an existing game","Präsentation für ein vorhandenes Spiel öffnen"
"Select published game","Freigegebenes Spiel auswählen"
"Loading games…","Spiele werden geladen…"
"Please select…","Bitte auswählen…"
"Open presentation","Präsentation öffnen"
"Open token manually","Token manuell öffnen"
"e.g. https://.../#/t/XXXXXXXX or token","z. B. https://.../#/t/XXXXXXXX oder Token"
"Open","Öffnen"
"Token found","Token erkannt"
"Redirecting…","Leite weiter…"
"No valid token found.","Kein gültiger Token erkannt."
"Token is invalid.","Token ist ungültig."
"This is not a presentation token.","Das ist kein Präsentations-Token."
"No connection","Keine Verbindung"
"Websocket connected","Websocket verbunden"
"Coming soon","Hier könnte demnächst was passieren"
"Enter name","Name eingeben"
"Your name","Dein Name"
"Join","Beitreten"
"Question","Frage"
"Questions","Fragen"
"Question {index}","Frage {index}"
"Question {current} / {total}","Frage {current} / {total}"
"Submit answer","Antwort abgeben"
"Submit estimate","Schätzung abgeben"
"Submit order","Reihenfolge abgeben"
"Your estimate","Deine Schätzung"
"Waiting for questions…","Warte auf Fragen…"
"Game finished!","Spiel beendet!"
"Your score:","Deine Punktzahl:"
"Correct answers: {score} of {total}","Korrekte Antworten: {score} von {total}"
"Your personal result card","Deine persönliche Ergebnis-Card"
"Copy link","Link kopieren"
"Open card","Karte öffnen"
"Open PNG","PNG öffnen"
"Waiting for game start","Warten auf Spielbeginn"
"Game:","Spiel:"
"Game: {title} · Questions: {count}","Spiel: {title} · Fragen: {count}"
"Game: {title} · Question {current} / {total}","Spiel: {title} · Frage {current} / {total}"
"You can submit answers before the game starts. Changes are possible until reveal.","Du kannst die Antworten schon vor Spielstart abgeben. Änderungen bleiben bis zur Auflösung möglich."
"Thanks for playing!","Vielen Dank fürs Mitspielen!"
"Questions are being prepared","Fragen werden vorbereitet"
"You","Du"
"You can answer once the admin starts the game.","Sobald der Admin das Spiel startet, kannst du antworten."
"Player","Spieler"
"Guest team","Gäste-Team"
"Loading results…","Lade Ergebnis…"
"Winner","Gewinner"
"Result not available.","Ergebnis nicht verfügbar."
"Copy failed.","Kopieren fehlgeschlagen."
"Link copied.","Link kopiert."
"Your personal result card","Deine persönliche Ergebnis-Card"
"Copy personal link","Persönlichen Link kopieren"
"Open personal PNG","Persönliches PNG öffnen"
"Open ranking PNG","Ranking-PNG öffnen"
"No ranking available yet.","Noch keine Rangliste verfügbar."
"Reveal in progress. Answer is locked now.","Auflösung läuft. Antwort ist jetzt gesperrt."
"Answer saved. You can edit until reveal.","Antwort gespeichert. Du kannst bis zur Auflösung ändern."
"Please enter a name.","Bitte gib einen Namen ein."
